ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,vol_ratio,vol_hot,outcome,result_r,scan_date
AMZN,Long,PULLBACK,T2-LONG,15,210.15,205.947,226.31,3.8,4.203,True,216.82,3.1,APPROACH,1,1,OPEN_ROAD,0.9,False,NO_DATA,,2026-03-05
LLY,Short,RESISTANCE,T3-SHORT,95,1015.0,1035.3,938.4,3.8,20.3,True,1003.57,1.1,CLOSE,1,1,HIGHWAY,0.6,False,NO_DATA,,2026-03-05
NFLX,Long,PULLBACK,T2-LONG,21,90.58,86.5,100.24,2.4,4.08,False,98.66,8.2,WAITING,1,1,OPEN_ROAD,1.0,False,NO_DATA,,2026-03-05
MU,Short,RESISTANCE,T3-SHORT,80,424.83,433.3266,393.5,3.7,8.4966,True,400.77,6.0,APPROACH,1,1,HIGHWAY,0.9,False,NO_DATA,,2026-03-05
AMD,Long,PULLBACK,T2-LONG,19,192.12,188.2776,209.79,4.6,3.8424,True,202.07,4.9,APPROACH,1,1,OPEN_ROAD,0.9,False,NO_DATA,,2026-03-05
PLTR,Long,PULLBACK,T2-LONG,41,140.52,137.7096,155.41,5.3,2.8104,True,153.19,8.3,WAITING,1,1,HIGHWAY,1.0,False,NO_DATA,,2026-03-05
CAT,Short,RESISTANCE,T2-SHORT,82,736.0,752.32,690.52,2.8,16.32,False,731.97,0.6,CLOSE,1,1,HIGHWAY,1.0,False,NO_DATA,,2026-03-05
PG,Short,RESISTANCE,T3-SHORT,95,162.98,166.2396,156.13,2.1,3.2596,True,158.3,3.0,CLOSE,1,1,HIGHWAY,0.8,False,NO_DATA,,2026-03-05
HD,Short,RESISTANCE,T2-SHORT,95,381.44,389.0688,363.5,2.4,7.6288,True,369.11,3.3,APPROACH,1,1,HIGHWAY,0.9,False,NO_DATA,,2026-03-05
AMAT,Short,RESISTANCE,T2-SHORT,75,372.3,379.746,353.26,2.6,7.446,True,357.76,4.1,APPROACH,1,1,HIGHWAY,0.6,False,NO_DATA,,2026-03-05
LRCX,Short,RESISTANCE,T2-SHORT,80,245.61,250.5222,220.65,5.1,4.9122,True,222.99,10.1,WAITING,1,1,HIGHWAY,0.7,False,NO_DATA,,2026-03-05
RTX,Long,PULLBACK,T2-LONG,25,198.31,194.3438,209.88,2.9,3.9662,True,208.82,5.0,APPROACH,1,1,HIGHWAY,0.7,False,NO_DATA,,2026-03-05
BABA,Short,RESISTANCE,T2-SHORT,95,138.5,142.68,128.51,2.4,4.18,False,133.27,3.9,APPROACH,1,1,HIGHWAY,1.6,True,NO_DATA,,2026-03-05
GEV,Short,RESISTANCE,T3-SHORT,95,843.0,859.86,758.07,5.0,16.86,True,841.27,0.2,CLOSE,1,1,HIGHWAY,0.7,False,NO_DATA,,2026-03-05
LIN,Short,RESISTANCE,T3-SHORT,95,501.68,511.7136,474.17,2.7,10.0336,True,499.19,0.5,CLOSE,1,1,HIGHWAY,0.6,False,NO_DATA,,2026-03-05
PEP,Short,RESISTANCE,T2-SHORT,80,166.69,170.0238,156.6,3.0,3.3338,True,163.92,1.7,CLOSE,1,1,HIGHWAY,0.6,False,NO_DATA,,2026-03-05
VZ,Long,PULLBACK,T2-LONG,20,49.36,48.3728,53.14,3.8,0.9872,True,51.2,3.6,APPROACH,1,1,OPEN_ROAD,0.8,False,NO_DATA,,2026-03-05
TXN,Short,RESISTANCE,T3-SHORT,69,206.75,210.885,191.45,3.7,4.135,True,202.39,2.2,CLOSE,1,1,OPEN_ROAD,0.7,False,NO_DATA,,2026-03-05
