ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
NKE,BOUNCED_CLEAN,0,1,0.4,4,-0.0,False,1.0,1d,20,104,True,10m,10,True,94030,2854,95457.0,61,16,weekly.229t | weekly.186t | weekly.174t,2026-08-04T06:00:00.000,41.49,2026-08-04T07:15:00.000,41.67,41.53,40.918,,0,0,False,0.0,14873890,0,77
COIN,BOUNCED_WAITING,0,0,1.5,3,0.6,False,4.9,1d,20,494,False,weekly,978,False,579328,54143,606399.5,69,22,weekly.1238t | weekly.921t | weekly.908t,2026-07-21T10:15:00.000,180.33,2026-07-31T10:15:00.000,151.6549,189.805,133.4925,2.1,20,0,False,0.01,6353711,0,91
COIN,BOUNCED_WAITING,0,0,1.5,3,0.6,False,4.9,15m,5,258,True,weekly,978,False,579328,54143,606399.5,69,22,weekly.1238t | weekly.921t | weekly.908t,2026-07-22T07:15:00.000,174.16,2026-07-31T10:15:00.000,151.6549,174.42,133.4925,1.25,10,0,False,0.01,6353711,0,91
