ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
APPS,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,6.95,6.6,7.3,,287,1.0,FAVORABLE,6.9499,MARKET,2026-05-27,2026-05-27T07:06:07.528450
IPWR,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,8.65,8.22,9.09,,231,1.0,FAVORABLE,8.655,MARKET,2026-05-27,2026-05-27T07:14:12.881587
MNTS,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,20.28,19.27,21.29,,98,1.0,FAVORABLE,20.2792,MARKET,2026-05-27,2026-05-27T07:16:14.191895
APGE,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,82.36,78.24,89.0,,24,1.61,FAVORABLE,82.3575,MARKET,2026-05-27,2026-05-27T07:26:54.007106
WULF,LONG,CONVICTION,99.4,BULL_BOUNCE_PENDING,25.41,24.14,26.69,,78,1.0,FAVORABLE,25.415,MARKET,2026-05-27,2026-05-27T07:25:46.115008
GFS,LONG,CONVICTION,98.3,BULL_BOUNCE_PENDING,82.27,78.15,91.0,,24,2.12,FAVORABLE,82.265,MARKET,2026-05-27,2026-05-27T07:11:59.094030
U,LONG,CONVICTION,98.2,BULL_BOUNCE_PENDING,27.95,25.59,29.35,,42,0.59,FAVORABLE,27.955,MARKET,2026-05-27,2026-05-27T07:24:12.638498
SMTC,LONG,CONVICTION,98.1,BULL_BOUNCE_PENDING,160.35,145.8,184.0,,6,1.62,FAVORABLE,160.355,MARKET,2026-05-27,2026-05-27T07:22:43.144184
VIAV,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,53.72,49.52,56.41,,23,0.64,FAVORABLE,53.72,MARKET,2026-05-27,2026-05-27T07:24:55.913277
AOSL,LONG,CONVICTION,97.6,BULL_BOUNCE_PENDING,48.13,45.72,53.0,,41,2.02,FAVORABLE,48.13,MARKET,2026-05-27,2026-05-27T07:06:03.698575
ZS,LONG,CONVICTION,96.1,BULL_BOUNCE_PENDING,128.8,121.28,144.58,146.2,13,2.1,FAVORABLE,128.7999,MARKET,2026-05-27,2026-05-27T07:26:19.265366
FGL,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,2.88,2.74,3.14,,694,1.8,FAVORABLE,2.8801,MARKET,2026-05-27,2026-05-27T07:11:39.223012
POET,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,13.32,12.65,15.17,15.17,150,2.78,FAVORABLE,13.32,MARKET,2026-05-27,2026-05-27T07:30:24.321682
AEMD,LONG,CONVICTION,95.3,BULL_BOUNCE_PENDING,2.92,2.77,3.16,,686,1.68,FAVORABLE,2.915,MARKET,2026-05-27,2026-05-27T07:04:18.341251
VSH,LONG,CONVICTION,95.1,BULL_BOUNCE_PENDING,48.59,46.16,51.02,,41,1.0,FAVORABLE,48.59,MARKET,2026-05-27,2026-05-27T07:25:19.981801
PRCH,LONG,CONVICTION,93.8,BULL_BOUNCE_PENDING,10.45,9.93,11.67,,191,2.33,FAVORABLE,10.45,MARKET,2026-05-27,2026-05-27T07:20:47.723011
NNVC,LONG,CONVICTION,93.1,BULL_BOUNCE_PENDING,1.78,1.69,1.92,,1123,1.58,FAVORABLE,1.78,MARKET,2026-05-27,2026-05-27T07:30:00.746995
ACMR,LONG,CONVICTION,92.0,CHANNEL_GAP_BREAKOUT_LONG,85.3,81.03,89.56,,23,1.0,FAVORABLE,85.3,MARKET,2026-05-27,2026-05-27T07:04:18.340254
CPSH,LONG,CONVICTION,92.0,BULL_BOUNCE_PENDING,12.89,12.25,13.87,,155,1.51,FAVORABLE,12.895,MARKET,2026-05-27,2026-05-27T07:09:06.037980
VCIG,LONG,CONVICTION,91.6,BULL_BOUNCE_PENDING,3.6,3.42,3.99,,555,2.17,FAVORABLE,3.6,MARKET,2026-05-27,2026-05-27T07:24:52.809899
SIMO,LONG,CONVICTION,91.5,BULL_BOUNCE_PENDING,275.43,261.54,289.2,,7,0.99,FAVORABLE,275.425,MARKET,2026-05-27,2026-05-27T07:22:17.890225
INTC,LONG,CONVICTION,91.2,BULL_BOUNCE_PENDING,119.99,110.25,125.99,,10,0.62,FAVORABLE,119.99,MARKET,2026-05-27,2026-05-27T07:14:09.485445
VTIX,LONG,CONVICTION,88.2,BULL_BOUNCE_CONFIRMED,3.6,3.04,3.78,,180,0.32,FAVORABLE,3.6,LIMIT,2026-05-27,2026-05-27T07:31:03.084366
FPS,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,46.25,44.79,48.98,51.46,68,1.88,FAVORABLE,46.9,LIMIT,2026-05-27,2026-05-27T07:28:10.341322
GILT,LONG,CONVICTION,87.7,BULL_BOUNCE_PENDING,17.92,15.65,18.82,,44,0.39,FAVORABLE,17.2,STOP,2026-05-27,2026-05-27T07:12:26.203073
