ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
INFQ,27.91,19.77,14.3,11.2,11.2,13.39,8305026,440695,18.85,0.71,True,11.18,13.39,13.1891,13.7917,497,99.82,130.1422,0.982,NEUTRAL,GENESIS,GENESIS
UCAR,24.26,8.09,1.69,1.37,1.65,1.47,2746674,17840,153.96,0.31,False,1.36,1.47,1.4479,1.5141,4535,100.0,118.3,0.994,NEUTRAL,GENESIS,GENESIS
CODX,50.63,25.5,3.6,2.35,2.5,2.9995,13862487,3946262,3.51,0.52,True,2.39,2.9995,2.9545,3.0895,2222,99.97,114.3795,0.982,NEUTRAL,GENESIS,GENESIS
QBTS,20.1,12.85,23.18,19.22,19.38,21.78,9590398,443275,21.64,0.65,True,19.3,21.78,21.4533,22.4334,306,99.97,92.2152,0.982,NEUTRAL,GENESIS,GENESIS
RGTI,20.18,11.2,20.286,16.81,16.81,18.77,9557518,651090,14.68,0.56,True,16.88,18.77,18.4885,19.3331,355,99.95,77.7101,0.982,NEUTRAL,GENESIS,GENESIS
QUBT,14.96,9.1,10.99,9.51,9.51,10.43,6115590,777000,7.87,0.62,True,9.56,10.43,10.2736,10.7429,639,99.97,50.4667,0.982,NEUTRAL,GENESIS,GENESIS
CRML,11.16,8.84,11.95,10.56,10.56,11.7,1584508,308150,5.14,0.82,True,10.75,11.7,11.5245,12.051,569,99.86,34.4358,0.886,WEAK,GENESIS,GENESIS
NIO,8.41,6.62,6.06,5.47,5.49,5.96,11800583,1506048,7.84,0.83,True,5.59,5.96,5.8706,6.1388,1118,99.95,34.0111,0.994,NEUTRAL,GENESIS,GENESIS
IONQ,9.53,4.92,57.47,51.92,52.1,55.05,5831848,976355,5.97,0.56,True,52.47,55.05,54.2242,56.7015,121,99.92,27.7508,0.982,NEUTRAL,GENESIS,GENESIS
APLD,12.47,9.57,44.45,42.75,42.96,43.3015,1954915,397773,4.91,0.32,False,39.52,43.3015,42.652,44.6005,153,99.38,26.1793,0.982,NEUTRAL,GENESIS,GENESIS
LAES,7.02,3.86,3.05,2.84,2.84,2.96,3014031,499173,6.04,0.57,True,2.85,2.96,2.9156,3.0488,2252,99.99,20.1546,0.958,NEUTRAL,GENESIS,GENESIS
PURR,12.19,7.27,9.11,8.6,8.89,8.71,846727,412824,2.05,0.22,False,8.12,8.71,8.5794,8.9713,765,99.95,15.8036,1.054,NEUTRAL,GENESIS,GENESIS
ORBS,4.66,-0.71,0.942,0.8744,0.8982,0.8937,1313944,495324,2.65,0.29,False,0.9001,0.8937,0.8803,0.9205,7459,99.99,7.6139,1.054,NEUTRAL,GENESIS,GENESIS
