ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
EDHL,Long,BOUNCE,T1-STRONG_LONG,100,5.98,2.565,12.81,10.015,2.0,3.415,5.98,2.2,CLOSE,1,1,1d,5.85,3.66,OPEN_ROAD,EXCITED,14321773478,9.4,3.2,5115421,1,464.2,72,8,0.54,NANO,120.82,10.015,3.5,16.53,372.3,DISCOUNT,DISCOUNT,1102,8,346,32.1,A,True,1.7798499999999997,1.92,N/A,
MASK,Long,PULLBACK,T1-STRONG_LONG,100,2.1399,2.037,2.3457,,2.0,0.1029,2.27,5.7,APPROACH,5,5,"10m,15m,1m,30m,5m",2.1399,2.1,OPEN_ROAD,EXCITED,233055,0.7,0.2,13197148,0,136.7,83,8,0.54,NANO,13.58,2.7625,3.03,2.495,-17.7,DISCOUNT,DISCOUNT,172,7,162,3.3,C,True,1.269942857142857,0.08,N/A,
RKTO,Long,PULLBACK,T3-LONG_WATCH,70,1.37,1.28,1.55,,2.0,0.09,1.48,7.4,WAITING,2,2,"15m,1d",1.37,1.33,OPEN_ROAD,EXCITED,87256133,1.0,0.5,6148751,0,57.1,29,8,22.32,MED,0.97,1.35,1.33,1.37,3.0,PREMIUM,MID,15,5,13,4.1,D,True,0.44270909090909094,0.2,N/A,
HKIT,Long,BOUNCE,T3-LONG_WATCH,100,0.559,0.5022,0.6726,,2.0,0.0568,0.559,0.0,CLOSE,2,2,"10m,5m",0.5589,0.5522,OPEN_ROAD,EXCITED,1727911,5.5,4.1,25737067,3,297.0,41,8,0.79,NANO,282.26,0.4596,0.436,0.4832,10.8,PREMIUM,PREMIUM,74,7,17,2.4,C,False,1.205985714285714,0.05,N/A,
SIDU,Long,PULLBACK,T3-LONG_WATCH,49,4.39,3.8606,5.4488,,2.0,0.5294,4.39,4.8,APPROACH,2,2,"1h,4h",4.18,3.98,OPEN_ROAD,EXCITED,285755376,1.0,0.7,1285977,0,38.0,29,8,66.42,HIGH,0.45,3.95,3.94,3.96,0.5,PREMIUM,PREMIUM,154,10,68,3.0,C,True,0.8557142857142855,0.62,N/A,
NOK,Long,PULLBACK,T3-LONG_WATCH,59,14.09,12.998,16.274,,2.0,1.092,14.09,3.7,APPROACH,2,2,"15m,30m",13.57,13.4,OPEN_ROAD,EXCITED,303113093,0.8,1.0,4616440,0,18.9,52,8,4441.96,MEGA,0.02,13.485,13.4,13.57,1.3,PREMIUM,MID,568,21,248,2.1,C,True,1.1557142857142857,0.94,N/A,
INTC,Long,BOUNCE,T1-STRONG_LONG,97,116.96,103.8,143.28,,2.0,13.16,116.96,2.9,CLOSE,5,5,"10m,15m,1d,30m,5m",113.52,107.04,OPEN_ROAD,EXCITED,161316696154,1.5,1.2,1502303,0,21.5,56,8,5016.6,MEGA,0.04,110.28,107.04,113.52,6.1,PREMIUM,MID,14059,24,4252,3.1,C,False,9.35485,1.41,N/A,
RITR,Long,BOUNCE,T3-LONG_WATCH,100,0.7458,0.6601,1.05,,3.5,0.0857,0.7458,2.1,CLOSE,3,2,"1m,5m",0.73,0.7101,HIGHWAY,EXCITED,35138,18.3,6.2,2419478,1,102.4,47,8,17.29,MED,1.18,0.5715,0.575,0.568,-1.2,PREMIUM,PREMIUM,52,7,14,40.8,C,False,0.06174285714285714,1.39,N/A,
BATL,Long,BOUNCE,T2-LONG,100,1.42,1.26,1.74,,2.0,0.16,1.42,2.2,CLOSE,2,2,"1h,4h",1.3894,1.31,HIGHWAY,EXCITED,155426553,3.0,4.6,1727729,3,130.7,55,8,13.31,LOW,4.37,2.02,2.06,1.98,-3.9,DISCOUNT,DISCOUNT,27,5,9,3.5,D,True,0.32035714285714284,0.5,N/A,
SATS,Long,PULLBACK,T1-STRONG_LONG,100,117.94,111.8216,130.1768,,2.0,6.1184,128.13,8.0,WAITING,6,6,"10m,15m,1h,30m,4h,5m",117.94,115.28,OPEN_ROAD,EXCITED,1892263883,2.1,1.3,1248413,1,17.1,30,8,136.89,HIGH,0.12,116.485,115.24,117.73,2.2,PREMIUM,MID,5052,11,3751,8.8,A,False,8.543964285714287,0.72,N/A,
