ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
CLRO,256.79,194.02,13.13,6.5,7.75,10.82,20619431,354,58115.65,0.65,True,3.68,10.82,10.6577,11.1446,616,99.98,3730.9649,1.054,NEUTRAL,GENESIS,GENESIS
CELZ,83.91,70.5,1.23,0.78,0.869,1.1403,45966465,4969,9249.9,0.8,True,0.6688,1.1403,1.1232,1.1745,5846,99.99,1046.1393,0.946,NEUTRAL,GENESIS,GENESIS
ASPN,28.94,27.94,6.46,5.11,5.11,6.41,315066,4955,63.58,0.96,True,5.01,6.41,6.3139,6.6023,1040,100.0,216.8452,0.994,NEUTRAL,GENESIS,GENESIS
SOUN,27.99,25.96,8.23,7.8,8.02,8.0993,3398864,492332,6.9,0.7,True,6.43,8.0993,7.9778,8.3423,823,99.99,105.8275,1.078,STRONG,GENESIS,GENESIS
OSCR,20.39,5.94,36.25,30.15,30.5,31.9,605368,13890,43.58,0.29,False,30.11,31.9,31.4215,32.857,208,99.53,71.5573,0.934,NEUTRAL,GENESIS,GENESIS
CHYM,10.11,8.06,28.54,27.31,27.67,28.01,811899,3139,258.61,0.57,True,25.92,28.01,27.5899,28.8503,238,100.0,66.1651,0.934,NEUTRAL,GENESIS,GENESIS
RDW,12.87,10.69,12.1,11.46,11.46,11.8665,1205332,551397,2.19,0.64,True,10.72,11.8665,11.6885,12.2225,561,99.86,25.8849,0.994,NEUTRAL,GENESIS,GENESIS
SPCX,6.49,4.19,115.3,106.75,110.16,112.81,28702444,5399743,5.32,0.71,True,108.27,112.81,111.1179,116.1943,59,99.84,20.8349,0.994,NEUTRAL,GENESIS,GENESIS
HTZ,8.33,3.85,1.69,1.58,1.6,1.62,953644,149165,6.39,0.36,False,1.56,1.62,1.5957,1.6686,4115,99.99,20.6723,1.006,NEUTRAL,GENESIS,GENESIS
CELH,4.32,-17.15,30.41,24.0,29.73,24.15,2022135,84467,23.94,0.02,False,29.15,24.15,23.7877,24.8745,276,99.98,8.4831,0.898,WEAK,GENESIS,GENESIS
