ticker,is_alumnus,chg_pct_full,chg_pct_intraday,open,close,high,low,volume,is_mover,picked,in_abook,in_momentum,in_recovery,in_short,which_panels,verdict
MGN,false,3.19,-17.28,4.8165,3.984,4.851,3.27,6043435,false,false,false,false,false,false,,IGNORED
MEDS,false,0.0,81.01,0.895,1.62,3.85,0.865,65061200,false,true,false,true,false,false,MOMENTUM,PICKED-FLAT
RETO,false,0.0,700.0,0.35,2.8,4.46,0.35,232785600,false,true,false,true,false,false,MOMENTUM,PICKED-FLAT
PTEN,false,0.0,1.44,12.53,12.71,12.93,12.51,7513900,false,false,false,false,false,false,,IGNORED
ADPT,false,0.0,7.58,24.8,26.68,27.34,24.71,4123800,false,false,false,false,false,false,,IGNORED
NEO,false,0.0,2.66,18.4,18.89,19.29,18.4,2425400,false,false,false,false,false,false,,IGNORED
ALT,false,0.0,-2.12,3.3,3.23,3.31,3.21,2334500,false,false,false,false,false,false,,IGNORED
HTFL,false,0.0,-1.93,49.28,48.33,50.44,48.19,2031400,false,false,false,false,false,false,,IGNORED
DK,false,0.0,5.0,74.42,78.14,78.41,74.42,1759200,false,false,false,false,false,false,,IGNORED
ANF,false,0.0,-3.55,140.15,135.17,141.0,134.7,1494400,false,false,false,false,false,false,,IGNORED
VOYG,false,0.0,3.73,33.27,34.51,35.31,32.14,1394900,false,false,false,false,false,false,,IGNORED
SNYR,false,0.0,-5.75,0.087,0.082,0.09,0.078,3013000,false,false,false,false,false,false,,IGNORED
TPST,false,0.0,-5.51,0.799,0.755,0.809,0.743,26443400,false,true,false,true,false,false,MOMENTUM,PICKED-FLAT
YFOR,false,0.0,0.0,1.4,1.4,1.47,1.36,9318200,false,true,false,true,false,false,MOMENTUM,PICKED-FLAT
WAFU,false,0.0,-0.71,1.4,1.39,1.4,1.35,24341300,false,true,false,true,false,false,MOMENTUM,PICKED-FLAT
ZBAO,false,0.0,-3.67,0.109,0.105,0.112,0.1,1195800,false,false,false,false,false,false,,IGNORED
INTC,false,0.0,-1.71,98.83,97.14,100.48,96.52,84999300,false,false,false,false,false,false,,IGNORED
