ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
XP,Long,BOUNCE,T1-STRONG_LONG,100,18.72,17.1496,21.8608,,2.0,1.5704,18.72,2.9,CLOSE,4,4,"1d,1h,30m,4h",18.18,17.68,OPEN_ROAD,EXCITED,1.9,292973733.0,1.2,1.1,0.0,0.0,10.6,30.0,8.0,403.18,MEGA,0.01,18.17,18.23,18.11,-0.7,PREMIUM,DISCOUNT,889,4,305,8.4,A,,,,True,0.7121214285714285,2.21,N/A,,0.5,0.5,1.0,0.5,0.0,0.5,1.15,HOSTILE,17.68,18.72,18.9072,188,63,56,7.88,2.0,1.68,3323.84,1179.36,1058.8,10:30,17.1496,21.8608,PULLBACK_LIMIT,,,
AGEN,Long,BOUNCE,T2-LONG,100,7.99,7.3769,9.2163,,2.0,0.6132,7.99,2.6,CLOSE,4,3,"1h,1m,4h",7.78,7.605,HIGHWAY,EXCITED,1.94,3179979.0,0.6,0.6,0.0,0.0,13.6,24.0,8.0,40.24,MED,0.02,7.585,7.61,7.56,-0.7,PREMIUM,PREMIUM,982,8,86,3.9,C,,,,True,0.6068642857142859,1.01,N/A,,0.5,0.5,0.5,0.5,0.5,0.5,0.9,HOSTILE,7.605,7.99,8.0699,438,163,144,7.06,2.0,1.65,3330.99,1302.37,1162.07,10:30,7.3769,9.2163,PULLBACK_LIMIT,,,
GPUS,Long,BOUNCE,T2-LONG,100,0.2393,0.1874,0.3432,0.2792,2.0,0.0519,0.2393,0.5,CLOSE,4,4,"15m,1h,30m,5m",0.238,0.2374,OPEN_ROAD,EXCITED,1.09,0.0,2.5,2.3,19043741.0,2.0,68.0,70.0,8.0,135.78,HIGH,0.22,0.2792,0.2801,0.2783,-0.6,DISCOUNT,DISCOUNT,0,1,0,6.0,D,,,,False,0.04690714285714286,1.11,N/A,,0.5,0.5,0.0,0.5,1.0,0.5,0.65,HOSTILE,0.2374,0.2393,0.2593,2000,1926,1390,2.12,2.0,1.17,474.8,460.89,360.43,10:30,0.1874,0.3432,PULLBACK_LIMIT,,,
