ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
UCAR,Short,T3-SHORT,80,RESISTANCE,0.62,0.63,0.53,0.5368,0.0,0.0,21027.0,13.42,WINNING,8.32,2026-04-02_0641,2026-04-02_0516
AGPU,Long,T2-LONG,96,FRESH_HOLD,3.55,3.51,4.87,3.49,0.0,0.0,19977.0,-1.69,STOPPED,-1.0,2026-04-02_0641,2026-04-02_0516
AGPU,Long,T2-LONG,91,PULLBACK,3.35,3.3403,4.87,3.49,0.0,0.0,19999.0,4.18,WINNING,14.43,2026-04-02_0641,2026-04-02_0516
RENX,Short,T3-SHORT,80,RESISTANCE,2.7601,2.77,2.47,2.36,0.0,0.0,3207.0,14.5,TARGET_HIT,29.3,2026-04-02_0641,2026-04-02_0516
RENX,Long,T2-LONG,76,PULLBACK,2.47,2.465,2.7601,2.36,0.0,0.0,3208.0,-4.45,STOPPED,-1.0,2026-04-02_0641,2026-04-02_0516
DEFT,Long,T2-LONG,100,FRESH_HOLD,0.6781,0.5665,0.9221,0.6891,0.798,0.6781,53684765.0,1.62,WINNING,0.1,2026-04-02_0641,2026-04-02_0516
RZLV,Short,T3-SHORT,80,RESISTANCE,3.415,3.43,2.899,2.99,0.0,0.0,0.0,12.45,WINNING,28.33,2026-04-02_0641,2026-04-02_0516
CETX,Short,T5-SHORT,54,RESISTANCE,0.8001,0.8059,0.76,0.7914,0.0,0.0,1773.0,1.09,WINNING,1.5,2026-04-02_0641,2026-04-02_0516
CETX,Long,T3-LONG_WATCH,51,FRESH_HOLD,0.76,0.754,0.8001,0.7914,0.0,0.0,1773.0,4.13,WINNING,5.23,2026-04-02_0641,2026-04-02_0516
SST,Long,T3-LONG_WATCH,57,PULLBACK,5.05,5.015,6.1,4.42,0.0,0.0,2491.0,-12.48,STOPPED,-1.0,2026-04-02_0641,2026-04-02_0516
KOPN,Long,T1-STRONG_LONG,90,PULLBACK,2.28,2.27,2.48,2.33,0.0,0.0,458904674.0,2.19,WINNING,5.0,2026-04-02_0641,2026-04-02_0516
KOPN,Short,T3-SHORT,70,RESISTANCE,2.48,2.485,2.28,2.33,0.0,0.0,458904674.0,6.05,WINNING,30.0,2026-04-02_0641,2026-04-02_0516
PROP,Long,T1-STRONG_LONG,95,FRESH_HOLD,2.25,2.155,2.51,2.35,0.0,0.0,2505.0,4.44,WINNING,1.05,2026-04-02_0641,2026-04-02_0516
PROP,Short,T3-SHORT,80,RESISTANCE,2.51,2.55,2.25,2.3483,0.0,0.0,2510.0,6.44,WINNING,4.04,2026-04-02_0641,2026-04-02_0516
PROP,Long,T2-LONG,58,PULLBACK,2.035,2.03,2.51,2.3483,2.35,2.315,2510.0,15.4,WINNING,62.66,2026-04-02_0641,2026-04-02_0516
EVTL,Long,T3-LONG_WATCH,61,FRESH_HOLD,2.245,2.24,2.27,2.15,2.15,2.12,1503112909.0,-4.23,STOPPED,-1.0,2026-04-02_0641,2026-04-02_0516
EVTL,Short,T5-SHORT,44,RESISTANCE,2.36,2.365,2.245,2.1391,2.15,2.11,1750925643.0,9.36,TARGET_HIT,23.0,2026-04-02_0641,2026-04-02_0516
SXTP,Short,T3-SHORT,80,RESISTANCE,1.88,1.89,1.83,1.8,1.8,1.79,60.0,4.26,TARGET_HIT,5.0,2026-04-02_0641,2026-04-02_0516
BATL,Long,T3-LONG_WATCH,9,FRESH_HOLD,3.77,3.76,4.2401,5.05,5.2,5.03,270334985.0,33.95,TARGET_HIT,47.01,2026-04-02_0641,2026-04-02_0516
BATL,Short,T5-SHORT,8,RESISTANCE,4.2401,4.25,3.77,4.97,5.2,4.95,1596667417.0,-17.21,STOPPED,-1.0,2026-04-02_0641,2026-04-02_0516
