ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
AG,17.262,18.28,17.32,17.82,BELOW_PDH,BELOW_PDL,True,18.08,17.15,0.12,OR_BOTTOM_THIRD,0.139,False,True,0.139,1.25,30,NEUTRAL,92,FIRST_RALLY_SHORT_ZONE
AGI,31.5196,31.9,30.9,31.58,REJECTED_PDH,ABOVE_PDL,True,32.34,31.13,0.322,OR_BOTTOM_THIRD,0.349,False,False,0.349,1.96,46,AVOID_LONG,62,NEUTRAL
AHMA,2.29,2.51,2.1,2.47,BELOW_PDH,ABOVE_PDL,True,2.41,2.23,0.333,OR_BOTTOM_THIRD,0.5,False,False,0.5,0.74,58,RELOAD_ZONE,50,NEUTRAL
ALKT,18.95,19.48,18.8,19.02,BELOW_PDH,RECLAIMED_PDL,True,19.16,18.56,0.65,OR_MIDDLE,0.667,False,False,0.667,2.76,62,NEUTRAL,42,AVOID_SHORT
ANNX,5.96,5.64,5.275,5.46,ABOVE_PDH,ABOVE_PDL,True,5.555,5.39,1.0,ABOVE_ORH,0.814,True,False,0.814,3.0,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
APLE,16.6153,16.65,16.465,16.64,REJECTED_PDH,ABOVE_PDL,True,16.6895,16.485,0.637,OR_MIDDLE,0.457,True,False,0.457,3.82,56,PULLBACK_BUY_ZONE,54,NEUTRAL
ARQT,25.9,26.11,25.53,25.81,REJECTED_PDH,RECLAIMED_PDL,True,26.12,25.31,0.728,OR_TOP_THIRD,0.707,True,False,0.707,1.18,68,PULLBACK_BUY_ZONE,52,AVOID_SHORT
ARX,13.25,14.03,12.97,13.77,BELOW_PDH,ABOVE_PDL,True,13.7675,13.12,0.201,OR_BOTTOM_THIRD,0.201,False,False,0.201,2.58,50,RELOAD_ZONE,62,NEUTRAL
AU,85.3737,85.27,83.13,84.65,ABOVE_PDH,ABOVE_PDL,True,85.4,83.2,0.988,OR_TOP_THIRD,0.988,False,False,0.988,2.22,74,AVOID_LONG_CHASE,40,NEUTRAL
BB,11.2601,13.0295,11.2,11.51,BELOW_PDH,RECLAIMED_PDL,True,12.075,11.15,0.119,OR_BOTTOM_THIRD,0.119,False,False,0.119,1.2,62,RELOAD_ZONE,54,AVOID_SHORT_CHASE
BCAX,29.22,29.7799,28.65,29.0,REJECTED_PDH,RECLAIMED_PDL,True,29.61,28.64,0.598,OR_MIDDLE,0.49,True,False,0.49,1.14,68,PULLBACK_BUY_ZONE,46,AVOID_SHORT
BWIN,27.09,28.46,26.91,28.41,BELOW_PDH,RECLAIMED_PDL,True,28.225,27.37,0.0,BELOW_ORL,0.209,False,True,0.209,3.61,34,AVOID_LONG,82,FIRST_RALLY_SHORT_ZONE
CAL,11.77,12.61,11.66,11.71,BELOW_PDH,RECLAIMED_PDL,True,11.72,11.42,1.0,ABOVE_ORH,0.881,False,False,0.881,4.58,84,AVOID_LONG_CHASE,26,AVOID_SHORT
CAST,4.05,5.31,4.322,4.34,BELOW_PDH,BELOW_PDL,True,4.44,3.85,0.339,OR_BOTTOM_THIRD,0.278,False,False,0.278,0.59,46,NEUTRAL,62,CONTINUATION_SHORT
CCTG,0.9923,1.23,0.75,0.91,REJECTED_PDH,ABOVE_PDL,True,1.05,0.8355,0.731,OR_TOP_THIRD,0.338,False,False,0.338,7.6,38,AVOID_LONG,68,NEUTRAL
CMBT,15.215,14.98,14.51,14.56,ABOVE_PDH,ABOVE_PDL,True,15.45,14.83,0.621,OR_MIDDLE,0.621,False,False,0.621,1.78,62,CONTINUATION_LONG,42,NEUTRAL
CMPS,12.9,13.8,12.7842,13.62,REJECTED_PDH,ABOVE_PDL,True,14.15,13.2,0.0,BELOW_ORL,0.053,False,False,0.053,1.14,18,AVOID_LONG,84,AVOID_SHORT_CHASE
CRE,2.86,2.555,2.49,2.49,ABOVE_PDH,ABOVE_PDL,True,3.22,2.63,0.39,OR_MIDDLE,0.486,False,False,0.486,0.44,62,CONTINUATION_LONG,42,NEUTRAL
CRNX,84.01,42.42,39.8301,42.23,ABOVE_PDH,ABOVE_PDL,True,42.85,41.39,1.0,ABOVE_ORH,1.0,False,False,1.0,2.27,84,AVOID_LONG_CHASE,26,AVOID_SHORT
CRVO,3.6,3.69,3.45,3.55,BELOW_PDH,RECLAIMED_PDL,True,3.62,3.435,0.892,OR_TOP_THIRD,0.846,False,False,0.846,1.61,74,AVOID_LONG_CHASE,40,AVOID_SHORT
CTSO,0.4214,0.4081,0.3806,0.39,ABOVE_PDH,ABOVE_PDL,True,0.4601,0.4284,0.0,BELOW_ORL,0.07,False,False,,,50,AVOID_LONG,52,AVOID_SHORT_CHASE
DRH,11.92,12.155,11.85,12.08,BELOW_PDH,ABOVE_PDL,True,12.15,12.015,0.0,BELOW_ORL,0.08,False,False,0.08,2.96,30,AVOID_LONG,72,AVOID_SHORT_CHASE
EDHL,5.7695,4.105,3.88,3.98,ABOVE_PDH,ABOVE_PDL,True,4.21,3.96,1.0,ABOVE_ORH,1.0,False,False,,,72,AVOID_LONG_CHASE,34,AVOID_SHORT
EPC,26.68,28.009,27.04,27.21,BELOW_PDH,BELOW_PDL,True,27.202,26.4,0.349,OR_BOTTOM_THIRD,0.539,False,True,0.539,2.49,38,NEUTRAL,80,FIRST_RALLY_SHORT_ZONE
ERO,26.38,27.15,25.575,26.21,BELOW_PDH,ABOVE_PDL,True,26.85,26.04,0.42,OR_MIDDLE,0.427,False,False,0.427,2.49,50,NEUTRAL,50,NEUTRAL
ESAB,97.04,95.665,91.46,92.78,ABOVE_PDH,ABOVE_PDL,True,95.99,93.53,1.0,ABOVE_ORH,0.771,True,False,0.771,2.82,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
FA,20.05,20.59,18.935,20.53,REJECTED_PDH,ABOVE_PDL,True,20.69,20.24,0.0,BELOW_ORL,0.0,False,False,0.0,3.0,18,AVOID_LONG,84,AVOID_SHORT_CHASE
FBIN,51.58,54.54,52.49,53.22,BELOW_PDH,BELOW_PDL,True,53.59,51.04,0.212,OR_BOTTOM_THIRD,0.224,False,True,0.224,4.63,30,NEUTRAL,92,FIRST_RALLY_SHORT_ZONE
FCEL,30.0,32.0,26.68,28.11,BELOW_PDH,ABOVE_PDL,True,30.9199,27.2,0.753,OR_TOP_THIRD,0.68,False,False,0.68,0.8,50,NEUTRAL,56,NEUTRAL
FCUV,2.81,3.9221,3.35,3.52,BELOW_PDH,BELOW_PDL,True,3.48,3.35,0.0,BELOW_ORL,0.139,False,True,0.139,1.65,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
FIGR,34.212,34.85,32.0,33.91,REJECTED_PDH,ABOVE_PDL,True,35.2,33.41,0.448,OR_MIDDLE,0.506,False,False,0.506,1.82,38,AVOID_LONG,62,NEUTRAL
FLG,14.84,15.115,14.525,14.59,BELOW_PDH,ABOVE_PDL,True,15.0,14.73,0.407,OR_MIDDLE,0.407,False,False,0.407,3.8,50,NEUTRAL,50,NEUTRAL
FLYW,18.5,18.92,18.48,18.75,BELOW_PDH,RECLAIMED_PDL,True,18.85,18.17,0.485,OR_MIDDLE,0.485,False,False,0.485,2.37,62,NEUTRAL,42,AVOID_SHORT
FOUR,51.0444,51.38,49.94,51.35,REJECTED_PDH,RECLAIMED_PDL,True,51.01,49.61,1.0,ABOVE_ORH,0.56,True,False,0.56,2.61,78,PULLBACK_BUY_ZONE,38,AVOID_SHORT
FTHM,1.01,1.14,1.02,1.04,BELOW_PDH,BELOW_PDL,True,1.075,1.01,0.0,OR_BOTTOM_THIRD,0.133,False,True,0.133,0.36,38,NEUTRAL,80,FIRST_RALLY_SHORT_ZONE
GBUX,0.0014,0.0011,0.0006,0.0011,ABOVE_PDH,ABOVE_PDL,True,0.0011,0.0009,1.0,ABOVE_ORH,0.577,False,False,0.577,1.26,72,CONTINUATION_LONG,34,AVOID_SHORT
GDHG,1.3,1.48,1.3162,1.32,BELOW_PDH,BELOW_PDL,True,1.3818,1.2698,0.27,OR_BOTTOM_THIRD,0.251,False,False,,,46,NEUTRAL,62,CONTINUATION_SHORT
GFI,34.688,35.83,34.7,35.46,BELOW_PDH,BELOW_PDL,True,35.5897,34.19,0.356,OR_MIDDLE,0.356,False,False,0.356,1.71,38,NEUTRAL,62,CONTINUATION_SHORT
HAYW,16.82,17.2399,16.79,16.97,BELOW_PDH,RECLAIMED_PDL,True,17.04,16.685,0.38,OR_MIDDLE,0.476,False,True,0.476,2.75,54,NEUTRAL,60,FIRST_RALLY_SHORT_ZONE
HBNC,19.9,20.42,19.75,19.78,BELOW_PDH,RECLAIMED_PDL,True,19.94,19.725,0.814,OR_TOP_THIRD,0.677,False,False,0.677,4.31,62,NEUTRAL,48,AVOID_SHORT
HITI,2.2858,2.37,2.275,2.3,BELOW_PDH,RECLAIMED_PDL,True,2.305,2.2591,0.582,OR_MIDDLE,0.651,False,False,0.651,2.66,62,NEUTRAL,42,AVOID_SHORT
HL,16.4605,16.6651,15.84,16.33,BELOW_PDH,ABOVE_PDL,True,16.57,16.07,0.781,OR_TOP_THIRD,0.673,False,False,0.673,1.27,50,NEUTRAL,56,NEUTRAL
HNGE,88.52,85.6475,82.53,84.05,ABOVE_PDH,ABOVE_PDL,True,88.7,83.06,0.968,OR_TOP_THIRD,0.773,True,False,0.773,2.22,92,PULLBACK_BUY_ZONE,32,NEUTRAL
HTFL,27.11,30.98,27.63,27.965,BELOW_PDH,BELOW_PDL,True,29.36,27.29,0.0,BELOW_ORL,0.007,False,False,0.007,3.97,18,AVOID_LONG,84,AVOID_SHORT_CHASE
HUBC,1.36,1.49,1.36,1.41,BELOW_PDH,TESTING_PDL,True,1.43,1.35,0.125,OR_BOTTOM_THIRD,0.111,False,False,0.111,1.65,50,RELOAD_ZONE,62,AVOID_SHORT_CHASE
IAG,16.55,16.88,16.23,16.56,REJECTED_PDH,ABOVE_PDL,True,17.015,16.44,0.191,OR_BOTTOM_THIRD,0.301,False,False,0.301,1.35,46,AVOID_LONG,62,NEUTRAL
ILLR,2.05,3.19,2.1308,2.54,BELOW_PDH,BELOW_PDL,True,2.47,2.14,0.0,BELOW_ORL,0.311,False,False,0.311,1.98,26,AVOID_LONG,72,CONTINUATION_SHORT
IMMX,10.87,10.46,9.74,10.34,ABOVE_PDH,ABOVE_PDL,True,11.115,10.29,0.703,OR_TOP_THIRD,0.703,False,False,0.703,1.56,62,CONTINUATION_LONG,48,NEUTRAL
INHD,,,,,BELOW_PDH,ABOVE_PDL,False,,,,OPENING_RANGE_PENDING,,False,False,,,50,NEUTRAL,50,NEUTRAL
