ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
CLRO,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,6.51,1h,log_regression,AT_LOWER,0.178,3,5.5677,5.6,1h,13.98,94.74,nearest_support_gap_hi,6.38,True,False,2.0,2.04,168.82,168.82,2.61,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback
BSP,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,54.11,1h,log_regression,MID,0.585,25,51.43,52.99,daily,2.07,100.0,nearest_support_gap_hi,54.0,True,False,0.2,0.2,8.93,8.93,2.83,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.93% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
EXK,EARLY_STRUCTURAL_MATCH,100.0,84.0,84.0,TOO_EARLY_OR_LOOSE,10.57,weekly,log_regression,MID,0.404,20,8.33,8.96,daily,15.23,96.71,nearest_support_gap_hi,10.17,True,True,3.78,3.93,9.7,9.7,5.39,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.7% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
