ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
AMSS,331.01,118.44,15.43,3.65,3.945,7.8201,11943589,15495,770.79,0.35,False,3.58,7.8201,7.7028,8.0547,852,99.94,1915.3162,0.886,WEAK,GENESIS,GENESIS
FGL,107.45,49.47,3.9,2.59,2.63,2.81,20667705,946,21838.23,0.17,False,1.88,2.81,2.7679,2.8943,2372,99.98,765.1661,0.97,NEUTRAL,GENESIS,GENESIS
APPS,34.3,31.29,6.46,5.31,5.52,6.315,4125044,30424,135.58,0.87,True,4.81,6.315,6.2203,6.5045,1055,99.93,253.4523,0.91,WEAK,GENESIS,GENESIS
IPWR,58.38,18.93,10.96,7.8,8.97,8.23,2738395,32725,83.68,0.14,False,6.92,8.23,8.1066,8.4769,810,99.99,231.7604,1.15,HOT,GENESIS,GENESIS
AEMD,73.06,9.39,4.24,2.58,2.86,2.68,10405378,1110698,9.37,0.06,False,2.45,2.68,2.6398,2.7604,2487,99.98,142.846,1.078,STRONG,GENESIS,GENESIS
CPSH,30.31,24.72,14.49,12.51,13.21,13.8691,1008985,78887,12.79,0.69,True,11.12,13.8691,13.6611,14.2852,480,99.86,128.3591,1.006,NEUTRAL,GENESIS,GENESIS
UZX,67.49,31.13,1.29,0.7555,0.86,1.01,37953274,18871676,2.01,0.48,False,0.7702,1.01,0.9949,1.0403,6600,99.99,111.2369,0.994,NEUTRAL,GENESIS,GENESIS
NCPL,68.22,26.17,1.8,1.23,1.23,1.35,14827869,3557318,4.17,0.21,False,1.07,1.35,1.3297,1.3905,4938,99.99,107.0829,0.91,WEAK,GENESIS,GENESIS
ASTI,18.97,15.29,6.71,5.95,5.95,6.5022,623280,64430,9.67,0.73,True,5.64,6.5022,6.4047,6.6973,1025,99.97,86.5789,1.138,HOT,GENESIS,GENESIS
ALP,30.85,13.18,0.5912,0.4555,0.459,0.5113,37868499,3850027,9.84,0.41,False,0.4518,0.51135,0.5037,0.5267,13037,100.0,84.1048,0.91,WEAK,GENESIS,GENESIS
MNTS,57.62,24.62,24.4,18.34,20.0,19.2907,10544585,4228598,2.49,0.16,False,15.48,19.2907,19.0013,19.8694,345,99.83,70.2645,0.97,NEUTRAL,GENESIS,GENESIS
SIDU,22.58,12.68,7.6,6.54,6.81,6.986,6377150,1219790,5.23,0.42,False,6.2,6.986,6.8812,7.1956,954,99.97,49.5524,0.898,WEAK,GENESIS,GENESIS
SPCE,16.81,12.25,4.1,3.8,3.95,3.94,2531253,424114,5.97,0.47,False,3.51,3.94,3.8809,4.0582,1692,100.0,43.9185,0.97,NEUTRAL,GENESIS,GENESIS
RDW,25.41,9.89,27.64,23.5,26.79,24.22,11496012,3396461,3.38,0.17,False,22.04,24.22,23.8567,24.9466,275,99.91,36.8605,0.97,NEUTRAL,GENESIS,GENESIS
LUNR,18.88,7.03,41.44,36.97,39.4,37.31,2555908,557182,4.59,0.08,False,34.86,37.31,36.7504,38.4293,178,99.62,29.5768,1.078,STRONG,GENESIS,GENESIS
ON,7.58,5.08,136.63,128.52,128.97,133.45,250334,63620,3.93,0.61,True,127.0,133.45,131.4482,137.4535,49,98.09,22.8949,1.15,HOT,GENESIS,GENESIS
GRRR,4.5,-3.1,17.2,14.57,16.71,15.95,432162,62808,6.88,0.52,True,16.46,15.95,15.7107,16.4285,417,99.77,14.5445,1.078,STRONG,GENESIS,GENESIS
PL,11.3,5.65,53.78,50.8546,51.63,51.05,725863,268779,2.7,0.07,False,48.32,51.05,50.2842,52.5815,130,99.55,13.7632,1.078,STRONG,GENESIS,GENESIS
FLY,9.34,1.56,64.3,59.2,61.25,59.73,766900,210444,3.64,0.1,False,58.81,59.73,58.834,61.5219,111,99.45,12.5402,0.97,NEUTRAL,GENESIS,GENESIS
RR,3.79,2.52,3.29,3.18,3.18,3.25,1057909,278831,3.79,0.64,True,3.17,3.25,3.2012,3.3475,2051,99.99,9.7366,0.97,NEUTRAL,GENESIS,GENESIS
