ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AA,49.71,BASING,0.0,0,16,16,58.35,55.715,264,daily,12.08,26 bear-built-above · rel-vol 1.1x · regime FAVORABLE,False,18,49.71,48.9644,58.35,134,17.38,11.59,False
AAL,13.76,BASING,0.0,0,20,20,14.83,14.772,6,weekly,7.35,36 bear-built-above · rel-vol 1.0x · regime FAVORABLE,False,20,13.76,13.5536,14.83,484,7.78,5.18,False
AAOI,112.3,BASING,0.0,0,15,15,113.1995,113.0,20,15m,0.62,15 bear-built-above · rel-vol 1.1x · regime FAVORABLE,False,15,112.3,110.6155,113.1995,59,0.8,0.53,False
AAOZ,12.44,BASING,0.0,0,20,20,19.48,13.1,639,daily,5.31,16 bear-built-above · rel-vol 1.2x · regime FAVORABLE,False,20,12.44,12.2534,19.48,535,56.59,37.73,False
AAP,43.63,BASING,0.0,0,19,19,56.18,46.85,933,daily,7.38,20 bear-built-above · rel-vol 1.3x · regime FAVORABLE,False,19,43.63,42.9756,56.18,152,28.76,19.18,False
AAPL,309.56,BASING,0.0,0,19,19,338.19,333.43,476,daily,7.71,36 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,19,309.56,304.9166,338.19,21,9.25,6.17,False
AAUC,23.37,BASING,0.0,0,20,20,24.06,23.87,19,daily,2.14,12 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,23,23.37,23.0194,24.06,285,2.95,1.97,False
ABCL,10.95,BASING,0.0,0,20,20,11.3,10.97,34,weekly,0.18,27 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,20,10.95,10.7857,11.3,608,3.2,2.13,False
ABNB,190.04,BASING,0.0,0,20,20,191.17,191.06,11,30m,0.54,22 bear-built-above · rel-vol 1.0x · regime FAVORABLE,False,20,190.04,187.1894,191.17,35,0.59,0.4,False
ABT,115.7458,BASING,0.0,0,18,18,121.76,121.37,40,weekly,4.86,9 bear-built-above · rel-vol 0.7x · regime FAVORABLE,True,19,115.7458,114.0096,121.76,57,5.2,3.46,False
ACAD,29.65,BASING,0.0,0,20,20,30.21,30.0,22,daily,1.18,37 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,22,29.65,29.2052,30.21,224,1.89,1.26,False
ACHR,6.17,BASING,0.0,0,20,20,6.3,6.21,9,weekly,0.65,18 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,20,6.17,6.0774,6.3,1080,2.11,1.4,False
ACHV,8.0,BASING,0.0,0,20,20,8.1,8.038,7,1h,0.48,21 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,20,8.0,7.88,8.1,833,1.25,0.83,False
ACM,64.99,BASING,0.0,0,20,20,73.3,68.25,505,daily,5.02,2 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,20,64.99,64.0151,73.3,102,12.79,8.52,False
ACMR,77.345,BASING,0.0,0,20,20,85.88,85.0,88,30m,9.9,24 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,21,77.345,76.1848,85.88,86,11.03,7.36,False
ACN,186.96,BASING,0.0,0,12,12,219.42,215.0,442,daily,15.0,2 bear-built-above · rel-vol 1.1x · regime FAVORABLE,True,12,186.96,184.1556,219.42,35,17.36,11.57,False
ACRS,5.51,BASING,0.0,0,4,4,6.335,6.33,1,1m,14.88,rel-vol 0.7x · regime FAVORABLE,True,4,5.51,5.4273,6.335,1209,14.97,9.98,False
