ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,news
ALLO,Long,BREAKOUT,T1-STRONG_LONG,90,3.55,2.72,5.21,,2.0,0.83,False,2.93,0.0,INSIDE,6,6,HIGHWAY,EXCITED,0.1,True,HIGH,0.0,3.045,3.06,3.03,-1.0,DISCOUNT,PREMIUM,52,7,22,3.4,C,,,,,,,,,,,,
POET,Long,PULLBACK,T1-STRONG_LONG,100,7.125,7.03,7.69,7.4,4.0,0.1425,,7.36,3.2,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,0.0,7.4,7.3,7.5,2.7,DISCOUNT,DISCOUNT,338,5,162,99.9,A,"10m,15m,1d,1h,30m,4h,5m",7.125,7.03,338378595.0,0.1,1.5,2.0,28.6,36.0,8.0,131.85,
LUNR,Long,BREAKOUT,T1-STRONG_LONG,100,25.58,24.41,27.92,,2.0,1.17,False,25.39,0.0,INSIDE,4,4,HIGHWAY,EXCITED,0.0,True,HIGH,0.0,25.115,24.41,25.82,5.8,PREMIUM,MID,957,8,899,99.9,A,,,,,,,,,,,,
LWLG,Long,PULLBACK,T1-STRONG_LONG,100,10.84,10.62,11.8,11.535,4.4,0.22,,11.21,3.3,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,0.0,11.535,11.39,11.68,2.5,DISCOUNT,DISCOUNT,661,18,648,99.9,A,"10m,15m,1d,1h,30m,4h,5m",10.84,10.62,861813238.0,0.1,1.9,2.0,56.9,40.0,8.0,146.5,
NAK,Long,PULLBACK,T1-STRONG_LONG,93,1.77,1.72,1.9601,1.925,3.8,0.05,,1.9001,6.8,APPROACH,6,5,MIXED,EXCITED,,,MEGA,0.0,1.925,1.92,1.93,0.5,DISCOUNT,DISCOUNT,71,14,60,3.2,C,"15m,1d,1h,30m,4h",1.77,1.72,61935966.0,0.1,1.0,1.0,26.1,71.0,8.0,550.05,
LAC,Long,PULLBACK,T2-LONG,71,4.23,4.22,4.65,4.425,5.0,0.0846,,4.46,5.2,APPROACH,2,2,HIGHWAY,EXCITED,,,MEGA,0.0,4.425,4.38,4.47,2.1,PREMIUM,DISCOUNT,84,5,10,4.3,C,"10m,5m",4.23,4.22,1329064.0,0.1,0.8,0.0,12.5,33.0,8.0,322.42,
IDYA,Long,BREAKOUT,T1-STRONG_LONG,100,34.5,30.52,42.46,,2.0,3.98,False,32.91,0.0,INSIDE,11,7,HIGHWAY,EXCITED,0.1,True,HIGH,0.0,33.095,32.82,33.37,1.7,DISCOUNT,DISCOUNT,304,5,304,99.9,A,,,,,,,,,,,,
ASPI,Long,PULLBACK,T1-STRONG_LONG,92,4.85,4.84,7.05,5.13,22.7,0.097,,5.205,6.8,APPROACH,2,2,HIGHWAY,EXCITED,,,HIGH,0.0,5.13,5.06,5.2,2.8,PREMIUM,DISCOUNT,221,4,93,35.4,A,"1m,5m",4.85,4.84,94907.0,0.1,1.0,0.0,28.4,24.0,8.0,100.38,
NUAI,Long,PULLBACK,T3-LONG_WATCH,61,4.35,4.3405,4.95,,6.9,0.087,,4.54,4.2,APPROACH,2,2,HIGHWAY,EXCITED,,,MED,0.01,4.59,4.58,4.6,0.4,FLAT,FLAT,48,9,28,9.0,C,"10m,5m",4.35,4.3405,232750.0,0.1,1.0,1.0,27.0,28.0,8.0,39.03,
SGI,Long,PULLBACK,T3-LONG_WATCH,51,76.5,73.92,84.44,,3.1,2.58,,81.36,6.0,APPROACH,1,1,HIGHWAY,EXCITED,,,HIGH,0.0,79.84,79.88,79.8,-0.1,FLAT,FLAT,3368,4,473,3.8,C,1d,76.5,73.92,624100710.0,0.1,1.0,1.0,8.6,25.0,8.0,187.47,
TGB,Long,PULLBACK,T2-LONG,76,7.12,6.77,8.05,7.47,2.7,0.35,,7.465,4.6,APPROACH,1,1,HIGHWAY,EXCITED,,,MEGA,0.0,7.47,7.39,7.55,2.2,MID,DISCOUNT,458,12,101,7.8,B,1d,7.12,6.77,164011575.0,0.1,0.6,0.0,7.4,35.0,8.0,357.93,
VST,Long,BREAKOUT,T3-LONG_WATCH,59,161.49,158.2,168.07,,2.0,3.29,False,160.81,0.0,INSIDE,2,2,OPEN_ROAD,EXCITED,0.1,True,MEGA,0.0,160.145,158.2,162.09,2.5,PREMIUM,MID,2072,3,1275,3.5,C,,,,,,,,,,,,
SPIR,Long,PULLBACK,T1-STRONG_LONG,100,18.85,17.92,22.54,,4.0,0.93,,19.8,4.8,APPROACH,4,4,HIGHWAY,EXCITED,,,MED,0.02,22.84,23.14,22.54,-2.6,DISCOUNT,DISCOUNT,1120,19,1074,13.8,A,"1d,1h,30m,4h",18.85,17.92,785447621.0,0.4,2.0,4.0,47.4,59.0,8.0,28.19,
FIGR,Long,PULLBACK,T2-LONG,56,32.74,31.78,37.0,36.235,4.4,0.96,,35.9,8.8,WAITING,1,1,HIGHWAY,EXCITED,,,HIGH,0.0,36.235,35.97,36.5,1.5,DISCOUNT,DISCOUNT,1343,3,754,3.1,C,1d,32.74,31.78,315982368.0,0.0,0.6,0.0,12.9,21.0,8.0,129.0,
LPTH,Long,PULLBACK,T2-LONG,77,13.67,13.405,14.6,,3.4,0.2734,,14.149,3.4,APPROACH,2,2,HIGHWAY,EXCITED,,,HIGH,0.01,14.6,14.41,14.79,2.6,DISCOUNT,DISCOUNT,749,17,154,3.2,C,"10m,15m",13.67,13.405,6274738.0,0.2,1.4,1.0,36.6,47.0,8.0,53.68,
