ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
CHAI,685.37,295.28,6.44,2.84,3.01,3.2413,69062140,2496,27669.13,0.11,False,0.82,3.2413,3.1927,3.3385,2056,99.96,4705.4851,1.0,,GENESIS,GENESIS
RGNT,472.66,111.72,7.33,2.3089,2.95,2.71,24736619,143931,171.86,0.08,False,1.28,2.71,2.6694,2.7913,2460,100.0,1684.7202,1.0,,GENESIS,GENESIS
ELPW,268.56,51.83,2.8401,0.7875,0.7875,1.17,56873494,143189,397.19,0.19,False,0.7706,1.17,1.1524,1.2051,5698,100.0,1287.3948,1.0,,GENESIS,GENESIS
ZTG,124.41,-1.57,5.7,2.06,5.48,2.5,9155798,100,91557.98,0.12,False,2.54,2.5,2.4625,2.575,2666,99.97,959.7261,1.0,,GENESIS,GENESIS
EPSM,186.55,14.29,3.41,1.3,1.55,1.36,17733138,13555,1308.24,0.03,False,1.19,1.36,1.3396,1.4008,4901,99.98,806.0508,1.0,,GENESIS,GENESIS
MTEN,142.27,28.51,4.7,2.36,3.46,2.4931,10095926,2242,4501.48,0.06,False,1.94,2.4931,2.4557,2.5679,2674,100.0,745.6906,1.0,,GENESIS,GENESIS
NUVL,39.16,38.86,123.1386,122.0,122.0,122.8729,11049046,474,23275.4,0.77,True,88.49,122.8729,121.0298,126.5591,54,99.53,548.2903,1.0,,GENESIS,GENESIS
TOON,34.8,4.88,0.9824,0.6913,0.96,0.7644,5036710,793,6345.06,0.25,False,0.7288,0.7644,0.7529,0.7873,8721,99.99,254.9733,1.0,,GENESIS,GENESIS
FCHL,52.73,5.45,1.68,1.1,1.15,1.16,1576380,10482,150.38,0.1,False,1.1,1.16,1.1426,1.1948,5747,100.0,191.3287,1.0,,GENESIS,GENESIS
BNRG,77.78,21.9,2.4,1.32,1.36,1.6456,4426818,1667899,2.65,0.3,False,1.35,1.6456,1.6209,1.695,4051,99.99,123.186,1.0,,GENESIS,GENESIS
QTEX,45.39,19.15,2.05,1.35,1.49,1.68,18170244,5310267,3.42,0.47,False,1.41,1.68,1.6548,1.7304,3968,99.99,98.3342,1.0,,GENESIS,GENESIS
UCAR,28.15,-6.67,1.73,1.22,1.365,1.26,1491629,14320,104.16,0.08,False,1.35,1.26,1.2411,1.2978,5291,100.0,91.9261,1.0,,GENESIS,GENESIS
