ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase
RXT,76.21,67.84,4.0,1.9,2.32,3.81,31432637,135857,231.36,0.91,True,2.27,3.81,3.7529,3.9243,1749,99.96,692.226,GENESIS,GENESIS
SABR,31.15,20.77,2.4,1.78,1.85,2.21,3008084,3829,785.52,0.69,True,1.83,2.21,2.1768,2.2763,3016,99.98,285.005,GENESIS,GENESIS
DDOG,31.85,30.29,189.48,144.21,146.0,187.2385,2325048,46473,50.03,0.95,True,143.71,187.2385,184.4299,192.8557,35,98.3,226.9447,GENESIS,GENESIS
PGY,14.36,11.94,16.96,14.8,14.93,16.6,975222,70641,13.81,0.83,True,14.83,16.6,16.351,17.098,401,99.85,69.4211,GENESIS,GENESIS
VEEE,33.11,7.99,8.0,5.5,6.17,6.49,1402838,462816,3.03,0.4,False,6.01,6.49,6.3926,6.6847,1027,99.98,62.5673,GENESIS,GENESIS
APP,4.52,-2.31,490.0,449.3388,477.0,458.0,331200,48267,6.86,0.21,False,468.83,458.0,451.13,471.74,14,96.18,9.4204,GENESIS,GENESIS
