ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
RZLV,Long,T1-STRONG_LONG,100,FRESH_HOLD,2.575,2.405,3.03,2.8899,2.9799,2.56,16163645.0,12.23,WINNING,1.85,2026-04-01_0739,
CRDL,Long,T1-STRONG_LONG,90,FRESH_HOLD,1.235,1.2,1.46,1.385,1.44,1.33,344963.0,12.15,WINNING,4.29,2026-04-01_0739,
AMTX,Long,T1-STRONG_LONG,75,FRESH_HOLD,3.34,3.3,3.495,2.91,3.24,2.87,938945.0,-12.87,STOPPED,-1.0,2026-04-01_0739,
UNIT,Long,T1-STRONG_LONG,75,FRESH_HOLD,7.94,7.64,8.11,10.23,11.04,9.68,2256045.0,28.84,TARGET_HIT,0.57,2026-04-01_0739,
FUN,Long,T1-STRONG_LONG,74,FRESH_HOLD,16.84,16.34,17.5,18.16,18.18,17.61,314510.0,7.84,TARGET_HIT,1.32,2026-04-01_0739,
AGRO,Long,T1-STRONG_LONG,66,PULLBACK,14.6,14.0,16.47,14.66,14.98,14.45,257656.0,0.41,WINNING,0.1,2026-04-01_0739,
FMC,Long,T1-STRONG_LONG,63,PULLBACK,15.94,15.2,22.0,16.92,17.32,16.91,277388.0,6.15,WINNING,1.32,2026-04-01_0739,
APRE,Long,T2-LONG,88,PULLBACK,0.7015,0.6772,0.7761,0.6902,0.7444,0.6623,270318.0,-1.61,STOPPED,-1.0,2026-04-01_0739,
RZLV,Long,T2-LONG,85,PULLBACK,2.375,2.2,3.03,2.885,2.9799,2.56,16199213.0,21.47,WINNING,2.91,2026-04-01_0739,
CODI,Long,T2-LONG,70,FRESH_HOLD,7.44,7.14,7.77,7.88,7.96,7.79,61579.0,5.91,TARGET_HIT,1.1,2026-04-01_0739,
ONEG,Long,T2-LONG,67,FRESH_HOLD,2.1,2.04,2.2281,2.045,2.0844,1.95,32404.0,-2.62,STOPPED,-1.0,2026-04-01_0739,
GEVO,Long,T2-LONG,66,PULLBACK,2.54,2.35,3.08,2.47,2.73,2.455,2526081.0,-2.76,LOSING,-0.37,2026-04-01_0739,
GVH,Long,T2-LONG,49,PULLBACK,1.37,1.3,1.55,2.1,2.52,2.02,531683.0,53.28,TARGET_HIT,2.57,2026-04-01_0739,
ALTO,Long,T2-LONG,29,FRESH_HOLD,4.52,4.43,4.81,4.815,5.02,4.75,316662.0,6.53,TARGET_HIT,3.22,2026-04-01_0739,
YYGH,Long,T3-LONG_WATCH,85,FRESH_HOLD,1.11,1.1,1.185,1.03,1.05,0.9801,104601.0,-7.21,STOPPED,-1.0,2026-04-01_0739,
GLND,Long,T3-LONG_WATCH,76,FRESH_HOLD,10.86,10.82,11.15,8.26,8.7,7.35,308745.0,-23.94,STOPPED,-1.0,2026-04-01_0739,
FMCC,Long,T3-LONG_WATCH,59,FRESH_HOLD,5.95,5.64,6.15,6.9,6.92,6.5,1650198.0,15.97,TARGET_HIT,0.65,2026-04-01_0739,
FNMA,Long,T3-LONG_WATCH,50,PULLBACK,6.66,6.3,6.8,7.6725,7.69,7.28,2479088.0,15.2,TARGET_HIT,0.39,2026-04-01_0739,
LMRI,Long,T3-LONG_WATCH,49,FRESH_HOLD,7.75,7.4,8.25,9.44,9.71,8.05,200340.0,21.81,TARGET_HIT,1.43,2026-04-01_0739,
NXTT,Long,T3-LONG_WATCH,34,PULLBACK,1.9,1.895,1.9714,2.33,2.6699,1.9387,366205.0,22.63,TARGET_HIT,14.28,2026-04-01_0739,
RBNE,Long,T3-LONG_WATCH,33,FRESH_HOLD,2.65,2.64,2.83,2.07,2.29,2.03,863873.0,-21.89,STOPPED,-1.0,2026-04-01_0739,
REI,Long,T3-LONG_WATCH,27,FRESH_HOLD,1.5898,1.585,1.6415,1.4285,1.5,1.4,2886158.0,-10.15,STOPPED,-1.0,2026-04-01_0739,
EGY,Long,T3-LONG_WATCH,18,PULLBACK,6.25,6.17,6.88,6.005,6.2,5.97,490783.0,-3.92,STOPPED,-1.0,2026-04-01_0739,
AHCO,Long,T3-LONG_WATCH,18,PULLBACK,10.46,10.0,12.13,11.75,11.96,11.62,111481.0,12.33,WINNING,2.8,2026-04-01_0739,
WLTH,Long,T3-LONG_WATCH,18,FRESH_HOLD,8.9,8.88,9.14,9.41,9.48,9.18,118740.0,5.73,TARGET_HIT,12.0,2026-04-01_0739,
WTI,Long,T3-LONG_WATCH,16,PULLBACK,3.32,3.28,3.5503,2.96,3.3,2.9312,3787327.0,-10.84,STOPPED,-1.0,2026-04-01_0739,
