ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
TIC,Long,PULLBACK,T2-LONG,81,4.7,7.3,7.0422,8.5,8.6,HIGH,107.09,0.02,1.0,0.0,16.6,6.4,C,32,,1.642,0.94,0.93,0.07,0.28,7.26,7.3,7.373,459,387,302,5.69,4.65,3.41,7.0422,8.5,10:30
MARA,Long,PULLBACK,T1-STRONG_LONG,87,9.7,10.54,10.1559,14.25,8.7,MEGA,371.34,0.13,1.2,0.0,27.3,23.4,A,44,,1.57,1.0,0.96,0.12,0.91,10.47,10.54,10.6454,318,260,204,12.03,9.66,7.36,10.1559,14.25,10:30
SRAD,Long,PULLBACK,T2-LONG,66,3.2,16.32,15.6558,18.47,9.4,HIGH,154.93,0.02,2.1,1.0,25.4,2.5,C,44,,1.554,0.81,1.0,0.0,0.28,16.14,16.32,16.4832,206,150,120,4.81,3.24,2.4,15.6558,18.47,10:30
INDI,Long,PULLBACK,T1-STRONG_LONG,93,3.7,3.02,2.8809,3.53,8.2,MEGA,204.15,0.02,1.3,0.0,17.0,7.3,C,14,,1.513,0.88,0.86,0.23,0.28,2.97,3.02,3.0502,1122,718,590,6.29,3.67,2.83,2.8809,3.53,10:30
CLVT,Long,PULLBACK,T1-STRONG_LONG,100,5.2,2.51,2.391,3.13,8.1,MEGA,474.1,0.01,1.3,0.0,30.5,14.7,B,158,,1.477,0.96,0.83,0.72,0.08,2.465,2.51,2.5351,1351,840,693,8.99,5.21,4.13,2.391,3.13,10:30
BRZE,Long,PULLBACK,T1-STRONG_LONG,100,4.0,20.94,19.9044,25.04,8.4,HIGH,86.11,0.03,1.1,0.0,26.0,9.5,A,229,,1.376,0.92,0.88,0.72,0.46,20.52,20.94,21.1494,162,96,80,7.34,3.96,3.12,19.9044,25.04,10:30
USAS,Long,PULLBACK,T1-STRONG_LONG,100,3.8,5.885,5.5484,7.1699,8.6,MEGA,270.28,0.03,1.4,0.0,25.1,11.3,A,215,,1.371,0.9,0.93,0.72,0.46,5.72,5.885,5.9438,582,297,252,8.45,3.82,3.1,5.5484,7.1699,10:30
ALKT,Long,PULLBACK,T1-STRONG_LONG,100,5.5,16.37,15.7819,19.61,5.9,HIGH,64.34,0.02,1.5,0.0,14.9,12.7,C,217,,1.358,0.98,0.5,0.72,0.28,16.27,16.37,16.5337,204,170,133,6.84,5.51,4.09,15.7819,19.61,10:30
PRCH,Long,PULLBACK,T1-STRONG_LONG,100,3.3,7.12,6.8628,7.96,7.7,HIGH,79.67,0.01,1.6,0.0,20.4,3.2,C,94,,1.353,0.86,0.75,0.72,0.08,7.075,7.12,7.1912,471,388,304,4.17,3.27,2.34,6.8628,7.96,10:30
REAL,Long,PULLBACK,T1-STRONG_LONG,81,2.4,10.63,10.2044,11.67,6.2,HIGH,108.57,0.02,1.1,0.0,21.4,3.0,C,262,,1.318,0.73,0.55,0.07,0.28,10.52,10.63,10.7363,316,234,188,3.64,2.44,1.76,10.2044,11.67,10:30
