ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
PPTA,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,23.21,weekly,log_regression,AT_LOWER,0.109,33,17.84,18.39,weekly,20.77,98.32,nearest_support_gap_hi,23.15,True,False,0.26,0.26,47.13,47.13,2.54,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
AEM,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,166.8118,weekly,log_regression,AT_LOWER,0.11,52,151.0,159.96,daily,4.11,100.0,nearest_support_gap_hi,166.0,True,True,0.49,0.49,34.49,34.49,2.96,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,
FRNM,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,11.34,1h,log_regression,MID,0.6,11,10.14,10.5,daily,7.41,100.0,nearest_support_gap_hi,11.12,True,True,1.94,1.98,25.75,25.75,4.14,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase | early_positive_momentum
NVST,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,26.9,daily,log_regression,MID,0.405,10,24.6,25.03,weekly,6.95,100.0,nearest_support_gap_hi,26.81,True,True,0.33,0.34,13.53,13.53,4.09,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.53% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
GIL,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,57.34,1h,log_regression,MID,0.394,19,55.38,56.36,weekly,1.71,99.13,nearest_support_gap_hi,57.19,True,False,0.26,0.26,10.59,10.59,2.12,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.59% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
WTTR,EARLY_RECLAIM_TRIGGER,100.0,93.0,93.0,EARLY_RECLAIM_TRIGGER,22.72,daily,log_regression,AT_UPPER,0.682,17,18.5,20.0,daily,11.97,100.0,nearest_support_gap_hi,22.48,True,True,1.06,1.07,9.11,9.11,,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.11% from recent high | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",mid_high_channel_location | early_trigger_not_chase
MWA,EARLY_STRUCTURAL_MATCH,100.0,87.0,87.0,TOO_EARLY_OR_LOOSE,27.0,weekly,gap_topology,MID,0.348,16,25.25,25.66,weekly,4.96,98.41,nearest_support_gap_hi,26.1,True,True,3.33,3.45,13.89,13.89,6.33,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.89% from recent high | room back to recent high,too_early_or_loose_for_trigger | early_positive_momentum
ANNX,EARLY_STRUCTURAL_MATCH,99.4,78.0,78.0,TOO_EARLY_OR_LOOSE,5.5,daily,log_regression,AT_LOWER,0.12,13,3.2,3.58,daily,34.91,100.0,nearest_support_gap_hi,5.4521,True,True,0.87,0.88,20.27,20.27,2.36,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 20.27% from recent high | room back to recent high,too_early_or_loose_for_trigger | overhead_gap_too_close | early_positive_momentum
ROIV,EARLY_STRUCTURAL_MATCH,99.2,73.0,73.0,TOO_EARLY_OR_LOOSE,35.354,daily,log_regression,MID,0.337,27,21.55,24.475,daily,30.77,100.0,nearest_support_gap_hi,34.68,True,True,1.91,1.94,4.66,4.66,4.12,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf,shallow_pullback | too_early_or_loose_for_trigger | early_positive_momentum
RYTM,EARLY_STRUCTURAL_MATCH,98.1,73.0,73.0,TOO_EARLY_OR_LOOSE,110.71,weekly,log_regression,MID,0.417,23,66.15,76.75,daily,30.67,100.0,nearest_support_gap_hi,110.15,True,True,0.51,0.51,4.71,4.71,3.79,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | coiled/controlled short-term momentum,shallow_pullback | too_early_or_loose_for_trigger
