ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
REI,SHORT,25.84,24.44,1.5,1.32,1.47,1.345,2982118,80285,37.14,0.14,True,1.78,1.345,1.3584,1.3181,7434,99.99,162.3246,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.1229,209.41,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
RCAT,SHORT,14.6,14.32,10.36,9.42,10.36,9.45,1742646,227107,7.67,0.03,True,11.03,9.45,9.5445,9.261,1058,99.98,65.0956,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.7975,122.74,LOW
BABA,SHORT,4.14,2.29,138.5,129.1951,135.9,131.69,2846150,512795,5.55,0.27,True,134.78,131.69,133.0069,129.0562,75,98.77,13.8529,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,4.1514,2399.05,LOW
