ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
AMC,Long,PULLBACK,T1-STRONG_LONG,83,1.745,1.6393,1.9564,,2.0,0.1057,1.86,6.2,APPROACH,6,5,"10m,15m,1h,30m,5m",1.745,1.69,HIGHWAY,EXCITED,28849623.0,2.8,1.7,1.0,49.2,78.0,8.0,524.81,MEGA,0.15,1.625,1.61,1.64,1.9,PREMIUM,PREMIUM,75,12,56,4.0,C,,,,
BZAI,Long,PULLBACK,T3-LONG_WATCH,54,2.52,2.3522,2.8555,,2.0,0.1678,2.52,3.6,APPROACH,1,1,1m,2.43,2.425,HIGHWAY,EXCITED,315547.0,5.8,2.2,1.0,63.0,47.0,8.0,80.09,HIGH,0.76,1.88,1.73,2.03,17.3,PREMIUM,PREMIUM,313,13,108,2.8,C,,,,
SMR,Long,PULLBACK,T1-STRONG_LONG,93,11.86,11.1017,18.47,,8.7,0.7583,12.65,6.2,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",11.86,11.445,HIGHWAY,EXCITED,1708645340.0,2.4,2.2,2.0,50.3,30.0,8.0,298.32,MEGA,0.18,11.695,11.41,11.98,5.0,PREMIUM,MID,1108,3,608,46.0,B,,,,
BMNR,Long,BREAKOUT,T1-STRONG_LONG,96,22.95,21.7668,25.3164,,2.0,1.1832,22.95,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,,,,,,,,,MEGA,0.1,22.73,22.44,23.02,2.6,PREMIUM,MID,1861,4,803,4.9,B,False,1.4,True,
HIMS,Long,PULLBACK,T1-STRONG_LONG,100,28.82,26.1803,34.0994,,2.0,2.6397,28.82,4.0,APPROACH,4,4,"10m,1d,4h,5m",27.67,26.99,OPEN_ROAD,EXCITED,6674634956.0,2.1,2.1,2.0,54.3,24.0,8.0,207.36,MEGA,0.23,27.33,26.99,27.67,2.5,PREMIUM,MID,2004,4,104,5.7,B,,,,
MSTR,Long,PULLBACK,T1-STRONG_LONG,100,153.77,144.6852,223.8,,7.7,9.0848,166.52,7.7,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",153.77,149.16,HIGHWAY,EXCITED,38810541686.0,2.8,1.5,1.0,38.5,38.0,8.0,314.13,MEGA,0.12,151.785,148.94,154.63,3.8,PREMIUM,MID,12704,6,4153,34.4,A,,,,
PBM,Long,BREAKOUT,T3-LONG_WATCH,100,8.75,4.415,17.42,,2.0,4.335,7.6,0.0,INSIDE,2,2,,,,OPEN_ROAD,EXCITED,,,,,,,,,NANO,55.81,7.845,5.87,9.82,67.3,MID,MID,427,10,321,13.6,A,False,6.5,True,
HOOD,Long,BOUNCE,T1-STRONG_LONG,92,90.75,84.5355,103.179,,2.0,6.2145,90.75,1.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",89.57,87.15,OPEN_ROAD,EXCITED,10109429710.0,1.5,1.8,1.0,37.6,41.0,8.0,783.38,MEGA,0.04,88.45,86.85,90.05,3.7,PREMIUM,MID,7025,10,6152,5.7,B,,,,
IONQ,Long,PULLBACK,T1-STRONG_LONG,100,46.09,41.9525,65.4,,4.7,4.1375,46.09,3.3,APPROACH,2,2,"1d,4h",44.59,43.25,HIGHWAY,EXCITED,11849565695.0,1.8,2.6,3.0,67.5,24.0,8.0,359.97,MEGA,0.09,44.385,44.68,44.09,-1.3,PREMIUM,DISCOUNT,2834,4,2117,41.9,A,,,,
BBAI,Long,PULLBACK,T1-STRONG_LONG,100,3.51,3.2883,4.875,3.82,6.2,0.2217,3.85,8.8,WAITING,2,2,"1d,4h",3.51,3.39,HIGHWAY,EXCITED,275084404.0,1.8,1.5,0.0,28.7,38.0,8.0,470.66,MEGA,0.09,3.82,3.75,3.89,3.7,PREMIUM,DISCOUNT,203,6,86,26.6,A,,,,
QBTS,Long,BOUNCE,T2-LONG,89,21.69,20.1857,24.6986,,2.0,1.5043,21.69,0.8,CLOSE,1,1,1d,21.52,20.81,OPEN_ROAD,EXCITED,5266197516.0,1.7,2.7,2.0,62.9,32.0,8.0,360.0,MEGA,0.1,21.6625,21.52,21.805,1.3,MID,DISCOUNT,1267,9,957,6.2,B,,,,
OPEN,Long,PULLBACK,T1-STRONG_LONG,100,4.95,4.7045,5.76,5.32,3.3,0.2455,5.29,6.4,APPROACH,4,4,"1d,1h,30m,4h",4.95,4.85,HIGHWAY,EXCITED,1029995620.0,1.4,1.5,1.0,34.0,25.0,8.0,839.64,MEGA,0.04,5.32,5.27,5.37,1.9,DISCOUNT,DISCOUNT,128,7,104,8.9,B,,,,
RGTI,Long,BOUNCE,T1-STRONG_LONG,100,19.81,18.5367,22.3566,,2.0,1.2733,19.81,1.4,CLOSE,2,2,"1d,4h",19.5332,19.11,OPEN_ROAD,EXCITED,3053892280.0,1.5,2.0,2.0,42.3,37.0,8.0,326.98,MEGA,0.1,19.69,19.45,19.93,2.5,PREMIUM,DISCOUNT,1232,7,607,8.9,A,,,,
ABTC,Long,PULLBACK,T1-STRONG_LONG,84,1.2,1.095,1.41,,2.0,0.105,1.3,7.7,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",1.2,1.145,OPEN_ROAD,EXCITED,395078625.0,3.3,2.2,1.0,57.8,60.0,8.0,322.64,MEGA,0.11,1.17,1.13,1.21,7.1,PREMIUM,MID,95,7,77,2.7,C,,,,
RKT,Long,BOUNCE,T1-STRONG_LONG,92,16.63,15.3066,19.2768,,2.0,1.3234,16.63,1.6,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",16.37,15.78,OPEN_ROAD,EXCITED,3785052969.0,1.5,1.4,0.0,15.8,24.0,8.0,949.97,MEGA,0.03,16.14,15.76,16.52,4.8,PREMIUM,MID,530,4,530,5.7,B,,,,
JBLU,Long,BOUNCE,T1-STRONG_LONG,100,5.87,5.3447,6.9206,,2.0,0.5253,5.87,0.9,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",5.82,5.51,HIGHWAY,EXCITED,688726782.0,1.2,1.0,0.0,35.4,34.0,8.0,333.63,MEGA,0.1,5.73,5.51,5.95,8.0,PREMIUM,MID,384,6,266,8.0,A,,,,
CIFR,Long,PULLBACK,T1-STRONG_LONG,88,17.605,16.9362,18.9426,17.655,2.0,0.6688,19.37,9.1,WAITING,1,1,4h,17.605,17.46,HIGHWAY,EXCITED,153470842.0,1.4,1.0,0.0,22.2,19.0,8.0,329.79,MEGA,0.09,17.655,17.34,17.97,3.6,PREMIUM,DISCOUNT,573,13,151,99.9,A,,,,
INFQ,Long,PULLBACK,T1-STRONG_LONG,100,15.87,15.1126,19.11,15.885,4.3,0.7574,17.42,8.9,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",15.87,15.58,HIGHWAY,EXCITED,760045696.0,6.2,3.5,3.0,78.4,36.0,8.0,137.46,HIGH,0.21,15.885,15.57,16.2,4.0,PREMIUM,DISCOUNT,951,7,494,9.7,A,,,,
MYSE,Long,PULLBACK,T3-LONG_WATCH,100,3.58,3.298,4.144,,2.0,0.282,3.81,6.0,APPROACH,2,2,"30m,5m",3.58,3.4,HIGHWAY,EXCITED,45066258.0,2.5,6.6,2.0,338.8,45.0,8.0,4.03,NANO,3.38,3.5475,3.3,3.795,15.0,PREMIUM,MID,466,7,313,7.6,B,,,,
RIVN,Long,BOUNCE,T1-STRONG_LONG,93,17.23,16.4027,18.8846,,2.0,0.8273,17.23,0.8,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",17.09,16.91,HIGHWAY,EXCITED,346408150.0,1.3,1.1,0.0,16.6,23.0,8.0,821.11,MEGA,0.03,17.005,16.89,17.12,1.4,PREMIUM,MID,660,5,182,5.9,B,,,,
NCLH,Long,BREAKOUT,T1-STRONG_LONG,100,21.15,19.4873,24.4754,,2.0,1.6627,20.99,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,,,,,,,,,MEGA,0.05,20.715,20.03,21.4,6.8,PREMIUM,MID,1372,4,45,9.0,A,False,1.6,True,
SOUN,Long,BOUNCE,T1-STRONG_LONG,100,8.08,7.5175,9.6,,2.7,0.5625,8.08,2.2,CLOSE,4,4,"10m,15m,30m,5m",7.9,7.75,HIGHWAY,EXCITED,141946695.0,1.3,1.7,0.0,31.5,40.0,8.0,382.55,MEGA,0.07,7.8675,7.7,8.035,4.4,PREMIUM,MID,340,5,185,18.8,A,,,,
AUR,Long,BREAKOUT,T2-LONG,80,5.335,5.0343,5.9364,,2.0,0.3007,5.27,0.0,INSIDE,5,5,,,,HIGHWAY,EXCITED,,,,,,,,,MEGA,0.02,5.27,5.17,5.37,3.9,MID,MID,17,2,17,8.2,D,False,1.5,True,
ACHR,Long,PULLBACK,T2-LONG,87,5.73,5.4999,6.65,6.165,4.0,0.2301,6.11,6.2,APPROACH,2,2,"1d,4h",5.73,5.67,HIGHWAY,EXCITED,202714168.0,1.2,1.1,0.0,24.0,26.0,8.0,627.16,MEGA,0.04,6.165,6.08,6.25,2.8,DISCOUNT,DISCOUNT,128,3,43,8.8,B,,,,
CLSK,Long,BOUNCE,T1-STRONG_LONG,100,11.97,10.9319,14.0462,,2.0,1.0381,11.97,2.8,CLOSE,8,7,"10m,15m,1d,1h,30m,4h,5m",11.63,11.27,OPEN_ROAD,EXCITED,549136427.0,1.3,1.0,0.0,26.8,24.0,8.0,246.91,MEGA,0.08,11.625,11.42,11.83,3.6,PREMIUM,DISCOUNT,545,4,147,2.7,C,,,,
COMP,Long,PULLBACK,T1-STRONG_LONG,74,7.618,7.0907,8.6726,,2.0,0.5273,8.14,6.4,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",7.618,7.31,OPEN_ROAD,EXCITED,497178059.0,2.0,1.1,0.0,18.9,36.0,8.0,721.16,MEGA,0.03,7.465,7.3,7.63,4.5,PREMIUM,MID,599,4,207,2.6,C,,,,
RPAY,Long,PULLBACK,T1-STRONG_LONG,100,3.79,2.92,5.53,,2.0,0.87,4.11,7.8,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",3.79,3.21,HIGHWAY,EXCITED,1441233431.0,6.3,2.3,1.0,46.9,31.0,8.0,41.77,MED,0.27,3.575,3.18,3.97,24.8,PREMIUM,MID,462,7,339,99.9,A,,,,
OKLO,Long,PULLBACK,T1-STRONG_LONG,100,62.53,57.2785,74.48,65.135,2.3,5.2515,66.81,6.4,APPROACH,2,2,"1d,4h",62.53,59.05,HIGHWAY,EXCITED,7035701730.0,2.5,2.2,2.0,54.3,46.0,8.0,123.73,HIGH,0.14,65.135,64.21,66.06,2.9,PREMIUM,DISCOUNT,8263,9,1700,11.5,A,,,,
IBRX,Long,PULLBACK,T2-LONG,91,7.295,7.0325,7.89,,2.3,0.2625,7.7,5.3,APPROACH,3,3,"1h,30m,5m",7.295,7.25,HIGHWAY,EXCITED,23705344.0,1.0,0.7,0.0,11.9,28.0,8.0,377.71,MEGA,0.05,7.2725,7.25,7.295,0.6,PREMIUM,MID,119,12,113,2.5,C,,,,
ADMA,Long,BOUNCE,T1-STRONG_LONG,100,11.01,10.4178,15.92,,8.3,0.5922,11.01,0.1,CLOSE,5,5,"10m,15m,1d,4h,5m",11.0,10.74,HIGHWAY,EXCITED,157825329.0,0.5,0.4,0.0,15.7,28.0,8.0,233.15,MEGA,0.02,10.87,10.74,11.0,2.4,PREMIUM,MID,547,4,82,44.6,A,,,,
BULL,Long,PULLBACK,T2-LONG,88,6.18,5.6745,7.191,6.57,2.0,0.5055,6.72,8.0,WAITING,2,2,"1d,4h",6.18,5.85,OPEN_ROAD,EXCITED,1554139125.0,1.6,2.0,1.0,40.5,37.0,8.0,377.73,MEGA,0.04,6.57,6.48,6.66,2.8,PREMIUM,DISCOUNT,385,4,97,2.7,C,,,,
AG,Long,BREAKOUT,T1-STRONG_LONG,100,21.81,20.4573,24.5154,,2.0,1.3527,21.49,0.0,INSIDE,7,7,,,,HIGHWAY,EXCITED,,,,,,,,,MEGA,0.03,21.445,21.05,21.84,3.8,MID,MID,468,8,65,13.6,A,False,1.1,True,
USAR,Long,PULLBACK,T1-STRONG_LONG,77,19.95,17.9644,23.9212,,2.0,1.9856,19.95,3.7,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",19.22,18.52,OPEN_ROAD,EXCITED,1903224838.0,1.7,1.3,0.0,35.0,31.0,8.0,169.39,HIGH,0.09,19.025,18.43,19.62,6.5,PREMIUM,MID,1565,7,676,2.8,C,,,,
SHLS,Long,BOUNCE,T1-STRONG_LONG,100,7.16,6.7415,7.997,,2.0,0.4185,7.16,1.5,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",7.05,6.95,HIGHWAY,EXCITED,71776175.0,1.6,1.8,0.0,15.1,29.0,8.0,166.41,HIGH,0.03,6.985,6.92,7.05,1.9,PREMIUM,MID,324,6,55,4.6,B,,,,
ARRY,Long,BOUNCE,T3-LONG_WATCH,54,7.83,7.3914,8.7072,,2.0,0.4386,7.83,1.8,CLOSE,1,1,1d,7.69,7.62,OPEN_ROAD,EXCITED,30709938.0,1.4,1.5,1.0,18.7,19.0,8.0,139.05,HIGH,0.03,7.655,7.62,7.69,0.9,PREMIUM,MID,217,5,40,6.0,B,,,,
COIN,Long,BOUNCE,T1-STRONG_LONG,100,206.33,194.1067,234.9,,2.3,12.2233,206.33,1.6,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",202.95,200.11,HIGHWAY,EXCITED,5540551178.0,1.5,1.2,0.0,31.5,31.0,8.0,219.96,MEGA,0.05,202.485,199.83,205.14,2.7,PREMIUM,DISCOUNT,8175,6,7776,13.8,A,,,,
QS,Long,PULLBACK,T2-LONG,88,6.6,6.2662,7.58,7.14,2.9,0.3338,7.1,7.0,WAITING,2,2,"1d,4h",6.6,6.46,HIGHWAY,EXCITED,266397334.0,1.5,1.7,0.0,22.6,23.0,8.0,483.24,MEGA,0.03,7.14,7.04,7.24,2.8,DISCOUNT,DISCOUNT,234,5,199,6.8,B,,,,
