ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,news
OSRH,Long,BOUNCE,T2-LONG,81,0.46,0.3975,0.585,,2.0,0.0625,0.46,2.1,CLOSE,1,1,1m,0.4505,0.4475,OPEN_ROAD,EXCITED,0,9.8,3.9,18216078,1,114.3,19,8,15.28,MED,1.01,0.7421,0.7442,0.74,-0.6,DISCOUNT,DISCOUNT,0,1,0,20.0,D,
AIXI,Long,PULLBACK,T1-STRONG_LONG,100,0.85,0.67,1.337,,2.7,0.18,0.899,5.5,APPROACH,6,6,"10m,15m,1d,30m,4h,5m",0.85,0.73,HIGHWAY,EXCITED,2597188319,0.8,0.3,11587374,0,130.7,37,8,28.67,MED,4.85,0.8175,0.73,0.905,24.0,PREMIUM,DISCOUNT,132,8,86,48.7,B,
AMZN,Long,BOUNCE,T1-STRONG_LONG,99,263.04,247.7283,293.6634,,2.0,15.3117,263.04,1.2,CLOSE,1,1,1d,259.98,255.39,HIGHWAY,EXCITED,24706438904,1.5,1.1,1635608,0,5.1,38,8,9756.22,MEGA,0.01,258.845,259.7,257.99,-0.7,PREMIUM,DISCOUNT,11788,8,5693,99.9,A,
PLUG,Long,PULLBACK,T1-STRONG_LONG,100,3.135,2.9391,3.5268,,2.0,0.1959,3.41,8.1,WAITING,6,6,"10m,15m,1d,1h,4h,5m",3.135,3.03,HIGHWAY,EXCITED,2073591931,1.8,1.0,3560282,0,16.8,40,8,1330.52,MEGA,0.1,3.0825,3.03,3.135,3.5,PREMIUM,MID,197,17,74,99.9,B,
INTC,Long,PULLBACK,T1-STRONG_LONG,95,86.1,82.0523,94.1954,,2.0,4.0477,94.75,9.1,WAITING,5,5,"10m,15m,1d,30m,5m",86.1,84.59,HIGHWAY,EXCITED,37167226675,1.7,1.4,3699321,1,45.1,55,8,5016.85,MEGA,0.05,85.3275,84.52,86.135,1.9,PREMIUM,MID,7231,20,4833,99.9,A,
NOK,Long,PULLBACK,T1-STRONG_LONG,94,11.645,10.9707,12.9936,,2.0,0.6743,12.46,6.5,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",11.645,11.31,HIGHWAY,EXCITED,6662679590,1.6,1.4,4330524,0,24.7,62,8,4443.8,MEGA,0.04,11.465,11.3,11.63,2.9,PREMIUM,MID,1023,17,485,99.9,A,
ASBP,Long,PULLBACK,T3-LONG_WATCH,76,0.244,0.1799,0.3722,,2.0,0.0641,0.244,3.8,APPROACH,2,1,1m,0.2348,0.2299,OPEN_ROAD,EXCITED,0,1.1,2.9,1322422,1,63.4,57,8,4.36,NANO,7.48,0.2093,0.2087,0.21,0.6,PREMIUM,PREMIUM,2,3,0,4.5,D,
INHD,Long,BOUNCE,T2-LONG,96,0.12,0.0319,0.2962,,2.0,0.0881,0.12,1.8,CLOSE,1,1,10m,0.1178,0.0819,OPEN_ROAD,EXCITED,219370918,11.6,4.3,11834173,1,118.2,49,8,8.37,LOW,72.92,0.1091,0.08,0.1382,72.7,PREMIUM,DISCOUNT,4,2,0,5.4,D,
FCEL,Long,PULLBACK,T3-LONG_WATCH,69,12.44,12.0397,13.2405,,2.0,0.4003,13.64,8.8,WAITING,1,1,5m,12.44,12.4121,HIGHWAY,EXCITED,414490,3.6,1.7,1059724,1,41.8,38,8,52.79,HIGH,0.35,10.6675,9.94,11.395,14.6,PREMIUM,PREMIUM,1339,11,270,99.9,A,
AKAN,Long,PULLBACK,T3-LONG_WATCH,93,24.53,23.6729,26.2443,,2.0,0.8572,25.99,5.6,APPROACH,1,1,1m,24.53,24.405,OPEN_ROAD,EXCITED,125604,2.4,1.4,2634662,2,253.0,137,8,0.03,NANO,382.97,18.475,17.49,19.46,11.3,PREMIUM,PREMIUM,2467,25,1332,5.3,B,
EAT,Long,BOUNCE,T1-STRONG_LONG,99,147.8,121.705,199.99,,2.0,26.095,147.8,2.4,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",144.31,129.24,OPEN_ROAD,EXCITED,7125713013,3.0,2.0,0,1,17.5,25,8,42.59,MED,0.09,136.07,129.14,143.0,10.7,PREMIUM,MID,9781,4,8395,5.4,B,
BRBR,Long,PULLBACK,T2-LONG,92,17.54,15.714,21.192,,2.0,1.826,17.54,4.3,APPROACH,2,2,"1d,4h",16.79,16.2,OPEN_ROAD,EXCITED,187625147,1.3,1.2,0,0,10.2,27,8,108.37,HIGH,0.04,16.885,16.93,16.84,-0.5,PREMIUM,DISCOUNT,397,3,68,3.6,C,
QCOM,Long,PULLBACK,T2-LONG,79,143.58,132.8803,164.9794,150.725,2.0,10.6997,156.0,8.0,WAITING,1,1,1d,143.58,136.99,OPEN_ROAD,EXCITED,19405676377,2.7,2.4,1447280,3,21.9,23,8,1064.7,MEGA,0.04,150.725,150.0,151.45,1.0,PREMIUM,DISCOUNT,8835,4,2682,7.9,B,
